id,middle_school_code,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score,created_at,updated_at
993e4053-a2ce-4c82-bee1-148867b3d2f6,040017,063004,2,2025,665,109,117,113,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
86e1f937-9b02-45ad-81da-6b35bef25f4d,040017,064001,2,2025,693.5,131,119,118,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
17f36c30-face-4ffb-a7fc-31191f3fd84a,040017,102057,1,2025,751,142,133,141,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
3b22041d-5a39-4bf9-8ec2-a8c9b44b22ce,040004,062001,3,2025,731,132,125,138,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
591e0649-d552-46e2-a217-09437c78fc50,040004,062002,2,2025,703.5,129,119,128,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2d1f30fa-1c35-4e27-8846-1a4b236d5c8c,040004,062003,2,2025,707.5,131,120,122,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
168b385e-dc85-4c5b-998f-d7a9ea89fd6f,040004,062004,3,2025,699.5,118,123,136,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
65d353f3-865e-4fdc-bd2a-d6107f8548b9,040004,062011,2,2025,659.5,105,123,123,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
69bd1bcd-e305-434e-bda0-e04d78c564ce,040004,063004,2,2025,670,109,121,116,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
6474f446-b509-4474-afca-57de274cb77a,040004,064001,2,2025,659.5,105,112,114,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
cdbbec23-dad9-4d91-a34e-44fcbb78d26d,040037,062001,4,2025,729.5,144,126,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
a188788b-ffea-486f-b5bc-61626fb6a4c4,040037,062002,4,2025,716.5,136,127,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
5b495c03-8a2c-441f-a903-c81de399e98c,040037,062003,4,2025,698.5,118,133,118,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
4c24989f-d290-433d-a8d6-3d47d1b5a8e0,040037,062004,4,2025,723,147,127,131,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
fd8965df-59f4-4d21-ae35-fea79a345ba2,040037,062011,3,2025,674,108,124,124,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
62b24c21-548b-4f61-8613-ee65008945c1,040037,063004,3,2025,677,118,118,117,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
374da599-bc3c-4d66-8d32-775afb5b0536,040037,064001,3,2025,666,107,123,113,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2b2e3b16-2049-4f49-90ad-68998e619f23,040031,062001,7,2025,725,144,116,133,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2f1b498a-b624-46f5-957a-d1afd74d62a9,040031,062002,6,2025,710.5,119,128,137,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8c216fce-f245-4b98-94e5-4160e20d8a9e,040031,062003,6,2025,704.5,136,119,126,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
81b98783-5206-4eec-9296-69a9a57231ba,040031,062004,7,2025,718.5,139,118,138,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
60a0a697-b1d4-4a85-bc03-0a1c83ed2b61,040031,062011,4,2025,657,125,114,110,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8b3ea418-b713-4ec8-aa2c-11e5844867c3,040031,063004,5,2025,682.5,125,119,131,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
63d74cbe-7b0b-4863-bc78-f1f2b7a443aa,040031,064001,4,2025,658,124,109,119,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
76bdfa85-cefd-4a8f-befb-c6756e41a31d,040016,062001,8,2025,731.5,137,124,137,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
ecc43ed2-b092-4afb-8726-34fe75be01c4,040016,062002,8,2025,706.5,128,126,129,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
750fb0be-b428-4805-9f21-006a574912f8,040016,062003,8,2025,710.5,130,124,132,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
988e10db-0afd-47ef-aa9b-86583c5743f7,040016,062004,9,2025,722,130,131,125,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
1f447614-26f9-4c82-85d0-250b540245c8,040016,062011,5,2025,655,108,119,97,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8af77bbb-a3f7-421a-8e23-d350e5276cfe,040016,063004,6,2025,676,127,115,123,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2ec3d782-b1e6-4100-b63f-9ec101abcaa4,040016,064001,5,2025,661.5,118,119,108,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
181ff42e-61a4-44c4-8a46-61083799fb05,040030,062001,3,2025,724,145,123,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
c9ed59a7-9093-4bc1-af10-a654de46c9e0,040030,062002,3,2025,701.5,146,120,136,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
89ce91d4-ba11-4910-a32c-bbabd8330bd3,040030,062003,3,2025,710.5,132,115,135,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
7ef922da-a399-4fe2-805c-e78300936935,040030,062004,3,2025,716.5,133,120,129,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8b0c59f4-0d29-4a58-9793-06d436eb759d,040030,062011,2,2025,660,128,110,123,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b373ec9a-9f7f-4766-b1a4-35554c03b5b5,040030,063004,2,2025,686.5,123,114,131,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2215f42b-e189-40e1-b099-d5e44a511d95,040030,064001,2,2025,670,124,123,109,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
3da9a2f7-1917-46f9-9be2-1a7834604f53,040030,102057,1,2025,668.5,116,120,115,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
6fc12b9c-fea4-47e8-9c6c-ad3b1f47165a,040018,062001,1,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
038869d6-c425-4ca2-a666-b22b75126c64,040018,062002,1,2025,724.5,135,124,135,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
efb46f03-d5f7-437f-a5a0-8d3526f3914e,040018,062003,1,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
a49addf6-07bb-4fcc-8bc6-2c71b760982a,040018,062004,1,2025,688,132,111,115,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b5fbe387-3677-4804-818c-d57ba8b83f41,040018,062011,1,2025,656.5,110,110,126,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
3022cd88-127b-4d05-a685-b5c078585a47,040018,063004,1,2025,686.5,120,119,120,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
3898311c-aba1-4c65-bebc-16f8c0c0a480,040018,064001,1,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
06f54b2d-bfcc-4fbd-ac14-f7204946e837,040018,102056,1,2025,742.5,145,120,137,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
cbd58a8d-0fcf-4ee6-8bf4-fbd961e497ca,040011,062001,10,2025,731,140,121,140,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2608cd05-6ff9-4f05-b30a-e71e4d6d0df3,040011,062002,9,2025,710,136,126,127,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b2d09cdb-ba01-4047-8847-c30f3175b7b0,040011,062003,9,2025,708.5,116,129,133,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
de96392c-c3a8-4de3-bf6c-14ad2b285f8c,040011,062004,11,2025,724.5,128,128,139,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
ddc9e1f0-9ab0-4c21-8d53-a4a66cb6cbe8,040011,062011,6,2025,660.5,121,124,103,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b97174e2-ff0d-45d9-a454-66cb90c351a3,040011,063004,7,2025,678,119,111,127,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8cf809f4-862d-4eb4-84c1-593310fa3b3e,040011,064001,6,2025,661,101,119,124,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
e63df8ff-9670-4b3d-ac1e-1015375e622f,040033,062001,20,2025,734.5,132,131,134,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
7fb037c5-b7bf-4c02-9b06-865c7f58bb3d,040033,062002,19,2025,712.5,126,122,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
9e1e4a9c-62a8-41ff-91e4-e03647ce7c45,040033,062003,19,2025,712.5,132,130,119,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8543310e-795f-4531-9f2c-74768192a874,040033,062004,22,2025,725,128,130,137,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
f36d55ca-9d2f-4f62-a73f-9720f65c516b,040033,062011,11,2025,658.5,103,121,110,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
f805c65e-39d9-4ddb-b96f-658956cd07c9,040033,063004,14,2025,672,123,117,118,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
95b8d994-9c3f-4958-9cf5-09f765a8d5e0,040033,064001,11,2025,663.5,124,115,119,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
20786496-00be-40e0-965e-9e2ca224be2e,040013,062001,7,2025,737,130,130,137,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
51ffdcc7-c87e-4332-bfc4-d372247b9dd0,040013,062002,6,2025,716,120,124,135,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
c6ecc3e9-37c8-458a-aaba-660625f06c31,040013,062003,6,2025,710.5,114,125,139,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
786c9e80-8f33-4fd6-8144-60e062ac0644,040013,062004,7,2025,724,141,115,144,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
9f42fd92-b98f-43fb-a0f5-6a84eef4b54b,040013,062011,4,2025,662,100,118,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
fafe7e41-0ae4-4d9b-95ab-b0a4ef5762fe,040013,063004,5,2025,655.5,112,108,121,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
94330b13-e18b-44d1-884f-b1fe0a21ac1c,040013,064001,4,2025,660.5,111,117,115,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
a5e5f42c-cfbc-4054-acf0-79c00be7d636,040001,062001,3,2025,726,135,118,135,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8ec845c2-4b27-4787-8b07-a923b803f554,040001,062002,3,2025,698,132,112,131,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2f47827b-3283-4f01-a545-2560aeb43b63,040001,062003,3,2025,695.5,113,124,121,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8385a6dc-612e-4219-99ad-845a5a846bf5,040001,062004,3,2025,714,125,117,139,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
61227a64-3876-44c9-ae54-fd8bf47152ff,040001,062011,2,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
c03fe2e5-b917-4b3b-9482-0d061121651f,040001,063004,2,2025,673.5,117,113,118,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
a4dd68ec-94ec-4bfd-b9e4-61da8b5741d3,040001,064001,2,2025,661.5,118,113,107,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
d62f9a7e-0594-4fe9-beeb-4a569466a91f,040027,062001,6,2025,730,141,127,129,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
21af0ed4-5c15-4d3e-af12-79e6ed7b608b,040027,062002,6,2025,708.5,139,116,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
33cc2e0b-5aba-4771-93f0-84050e5fcdca,040027,062003,6,2025,711.5,134,122,133,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b4e50d53-766f-46a5-ad22-8eb97029e30c,040027,062004,7,2025,721.5,136,118,140,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
9625143c-7d1b-4e53-a214-8cf41a77fe05,040027,062011,4,2025,655,111,109,126,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
5b5c5570-45d6-48f9-8e1d-8ee3a524bae9,040027,063004,5,2025,683.5,122,115,126,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
fa95271e-1b8a-40d6-b48b-7d8fd6f140c8,040027,064001,4,2025,668.5,123,109,120,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
f68f41e3-edf4-49f8-95a9-d774b44f1474,040027,102056,1,2025,752.5,145,131,140,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
72c854ed-9b47-4fb8-8e02-1e141917e09d,040010,062001,3,2025,735,135,125,138,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
651d244f-9071-40f7-bf43-08f7a20cc582,040010,062002,3,2025,698,117,125,131,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
515c7286-4965-4949-9ac5-c1c005210834,040010,062003,3,2025,706.5,128,129,119,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
d51bc1f2-7bf5-4267-9ef7-cb3a3eeb19f2,040010,062004,4,2025,714.5,133,126,133,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
52e7d7d6-8397-4940-af5f-ab9711d89ecc,040010,062011,2,2025,683.5,122,117,121,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
af7a533c-f569-4ee9-8438-06c8d9f53b70,040010,063004,3,2025,668.5,116,118,114,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2a5aa62b-a619-4abd-8f0e-a788dbf6cfc7,040010,064001,2,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
6dcc30a8-f12c-4e6b-bfd2-7e6ca811ab3f,040005,062001,2,2025,714.5,132,118,136,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
e9038a5e-d5db-416d-a423-fb0f2d31a429,040005,062002,2,2025,692,120,121,124,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
be348a5f-91c9-4dfa-ba96-31ef8358206c,040005,062003,2,2025,697,132,114,132,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
022df7b1-f7ff-4966-8874-b77d2af60de9,040005,062004,2,2025,714.5,136,119,126,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8e38f9c0-a18c-4ae5-b17f-bbbbcb5d7dfe,040005,062011,2,2025,658.5,123,119,114,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
49485d53-0b57-4189-b6f3-b76f9431ac33,040005,063004,2,2025,671.5,115,119,112,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
e56bb8f9-7e33-412f-991b-86ecb943b26d,040005,064001,2,2025,661,110,117,115,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
553ac8c7-5902-400c-a814-92243f70bd83,040014,062001,5,2025,736,142,125,140,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2baa3180-ab6d-4af0-ab28-3f7df4c6e1d5,040014,062002,5,2025,715.5,141,117,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
d0c64998-aec7-4278-9b2a-2ef979c14423,040014,062003,5,2025,709,128,120,134,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
cb09798e-a600-45dd-bc08-47bd3ca01423,040014,062004,5,2025,725,132,128,138,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
c7fdb960-231a-4c2e-a8c1-58a37efec61e,040014,062011,3,2025,655.5,114,115,108,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
c6f41691-e864-4f98-9b0c-8d294752b5c3,040014,063004,4,2025,675.5,117,122,123,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
87c51bb4-59d6-47f8-8ed4-c579764daf4b,040014,064001,3,2025,663,115,114,117,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8266069a-7914-4759-b0f3-4d7ddb1e2870,040015,062001,3,2025,723,136,123,126,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
fb94c6bb-1762-4377-98ee-5aef612ddcdc,040015,062002,3,2025,695.5,127,122,126,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
d7b9abd9-e92a-4a3c-9ad1-86f8a1ffef9e,040015,062003,3,2025,694.5,117,117,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
edebef2f-67e6-470d-9d8f-7cb8ef5c4054,040015,062004,3,2025,706.5,133,115,123,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
cfea8ab6-28e9-439d-a195-66c5252292e2,040015,062011,2,2025,656,115,120,117,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
ea372bcb-1d06-4d06-84f2-5a4d21943ded,040015,063004,2,2025,685.5,126,126,116,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
26490237-9466-42d8-9fd1-7ab9e30c220f,040015,064001,2,2025,683,127,123,135,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
320e7671-5638-49bd-9184-972d2d32797d,040015,042032,1,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
1d8b98c9-bf89-4648-ae81-78ffec300f11,040009,062001,3,2025,717,132,120,133,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
13f959cb-4831-4f31-93b5-b54cc70ce4a7,040009,062002,3,2025,691.5,135,121,128,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
d6dd08c9-67c1-4351-ac6c-7635b0ac64e9,040009,062003,3,2025,701,124,123,120,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
131e3f9a-5cf0-4d69-aa48-2a66348601fa,040009,062004,3,2025,709.5,129,122,131,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
ac9f50ce-5429-42ac-98c7-0253d6dec5fa,040009,062011,21,2025,660,119,115,120,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
e8f46deb-1825-4dfd-856f-94bcdbf682bd,040009,063004,2,2025,670,108,129,107,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
bf80a849-84fa-4f1f-9e05-4cfb26ed728e,040009,064001,2,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
acf4276f-5003-4d66-95fe-694abfb34e4d,040022,062001,3,2025,722,125,126,132,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
c8a2259d-08f4-4a5b-bde8-ab1d50125c5f,040022,062002,2,2025,702.5,127,122,128,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
428ff460-5eef-4c64-8341-cc3725e8f65e,040022,062003,2,2025,694.5,116,122,133,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
0d180695-61b4-4efc-a3c9-14066d158d45,040022,062004,3,2025,711,124,127,118,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
d04073f1-7d20-4c31-8039-e18d2ca4e30d,040022,062011,2,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
52c44b9e-f71f-4bd9-921b-6872b3260341,040022,063004,2,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
78a45196-3091-4b29-a326-551a96078d22,040022,064001,2,2025,665.5,118,111,115,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
f806bcdd-992e-4058-b200-fbc716bba244,040024,062001,3,2025,733.5,142,126,141,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
6fc31935-7dc4-4c1a-96f2-a96cd6c41df7,040024,062002,3,2025,707.5,130,125,134,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b8ae8629-b974-406d-b2dd-bd471a143c1e,040024,062003,3,2025,701.5,134,115,122,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
26089a7a-1de2-4ddd-84f3-43cd1ae7f431,040024,062004,4,2025,702.5,121,128,123,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
6fec2e71-2deb-46a4-ae78-2382a25d9a31,040024,062011,2,2025,657.5,109,115,111,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
34512872-3ea1-4051-bb95-52b5c1ac154a,040024,063004,3,2025,667,106,114,119,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
0c9b18a3-be56-4206-9b51-28271a72975b,040024,064001,2,2025,670.5,125,109,118,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
e81329cd-1f6e-4672-a0d7-023c4febc210,040024,102057,1,2025,757.5,144,125,143,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
68bbadd1-c245-4296-b0d8-c73726a0a290,040003,062001,4,2025,723.5,123,130,135,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
5d4e2c7e-4816-48b3-b662-911125d7498d,040003,062002,4,2025,706.5,132,121,125,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
bc1298fc-6195-46d8-9fea-4a2ae6d30284,040003,062003,4,2025,701.5,138,112,128,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
46a2f4fa-47c5-4826-9727-a3c1d3f98891,040003,062004,4,2025,715.5,129,128,123,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b6e8c15b-cb7e-45a7-8d3d-a1cc6ebf1b62,040003,062011,3,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8d427e21-3d30-4902-b643-1e4b571778b3,040003,063004,3,2025,665.5,125,111,117,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8c2e50e1-8cd0-4607-bbf6-c3eda4eb495a,040003,064001,3,2025,658,103,129,112,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
5333402e-61b9-4329-85d6-1853551b90cc,040026,062001,4,2025,725,123,129,138,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
dd0d049b-a105-4db7-b2bc-fa554d6cc188,040026,062002,4,2025,702.5,132,112,137,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
4f3950cc-6649-408b-870b-69912ea3a0fa,040026,062003,4,2025,700.5,121,124,132,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
921403a9-88c2-4bad-9a44-e69ff5defe32,040026,062004,4,2025,719.5,127,129,129,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
e769baf9-46c2-44d5-9b06-66f5c3a71628,040026,062011,3,2025,664.5,115,125,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b84feeea-6260-4b72-8eb8-ee862bdeb98c,040026,063004,3,2025,677.5,124,112,112,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
b825637b-6469-441e-9cba-a87b86dc8419,040026,064001,2,2025,668.5,104,119,128,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2ee791e3-8048-40bb-beba-7606cfe6fe4a,040006,062001,3,2025,716.5,123,129,128,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
86690ec2-1624-451e-be13-48fe57d4e298,040006,062002,3,2025,696.5,129,125,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
49168e4f-6cd4-452c-b3ac-950a182871a3,040006,062003,3,2025,691.5,130,107,134,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
2f3c0595-b1e1-43a1-a998-e3eb361a4657,040006,062004,3,2025,697.5,132,119,124,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
